Jay Ashworth,,,,,,,,
Wrap:,TRUE,,,,,,,
K(states):,5,,,,,,,
Radius:,1,,,,,,,
Quiescence:,TRUE,,,,,,,
random seed:,1675818974,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment #:,0,,,,,,,
Rule:,3.43E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,3,0.992,0.923076923,1.981589642,2.075869297,,
1,12,3,0.984,0.846153846,2.014509866,2.133937566,,
2,6,3,0.832,0.769230769,2.097293577,2.075869297,,
3,10,3,0.784,0.692307692,2.127374301,2.10390991,,
4,5,3,0.64,0.615384615,2.049152779,2.075869297,,
5,9,3,0.56,0.538461538,2.007784868,1.987773371,,
6,3,1,0.48,0.461538462,1.807873679,1.88109476,,
7,2,1,0.432,0.384615385,1.570526778,1.546593564,,
8,1,1,0.408,0.307692308,1.473625849,1.352030102,,
9,7,1,0.264,0.230769231,0.948749842,0.991264261,,
10,8,1,0.144,0.153846154,0.688222573,0.773228349,,
11,4,1,0.024,0.076923077,0.163345543,0.391243564,,
12,11,1,0,0,0,0,,
,,,,,,,,
,,,,,,,,
Experiment #:,1,,,,,,,
Rule:,3.34E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,3,0.992,0.923076923,1.956639463,2.038159682,,
1,3,3,0.912,0.846153846,2.133576089,2.038159682,,
2,9,3,0.832,0.769230769,2.207524751,2.075869297,,
3,8,4,0.712,0.692307692,1.92532255,1.826245258,,
4,5,2,0.568,0.615384615,1.878160963,1.826245258,,
5,10,2,0.52,0.538461538,1.812051134,1.738149333,,
6,7,2,0.376,0.461538462,1.370952618,1.573402452,,
7,4,2,0.256,0.384615385,1.110808747,1.488525295,,
8,12,1,0.248,0.307692308,1.046892086,1.140115679,,
9,1,1,0.224,0.230769231,0.970332337,0.991264261,,
10,11,1,0.2,0.153846154,0.880936151,0.773228349,,
11,6,1,0.048,0.076923077,0.277839574,0.391243564,,
12,2,1,0,0,0,0,,
,,,,,,,,
,,,,,,,,
Experiment #:,2,,,,,,,
Rule:,1.32E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,2,0.992,0.923076923,1.898659161,2.045841641,,
1,9,3,0.912,0.846153846,2.163253384,2.192005835,,
2,4,3,0.792,0.769230769,2.052422006,2.133937566,,
3,3,2,0.712,0.692307692,2.022541675,2.038159682,,
4,2,2,0.664,0.615384615,2.029315231,2.038159682,,
5,5,3,0.52,0.538461538,1.923983425,1.987773371,,
6,7,3,0.376,0.461538462,1.537070153,1.823026491,,
7,1,1,0.352,0.384615385,1.388977436,1.488525295,,
8,8,1,0.232,0.307692308,1.067597126,1.352030102,,
9,6,1,0.08,0.230769231,0.472682462,0.991264261,,
10,11,1,0.056,0.153846154,0.31135737,0.619382195,,
11,10,1,0.008,0.076923077,0.067221545,0.391243564,,
12,12,1,0,0,0,0,,
,,,,,,,,
,,,,,,,,
Experiment #:,3,,,,,,,
Rule:,2.23E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,3,0.992,0.923076923,1.530148336,2.038159682,,
1,6,3,0.84,0.846153846,1.963878369,2.16197818,,
2,7,3,0.696,0.769230769,2.052455928,2.199687795,,
3,3,3,0.616,0.692307692,2.010628299,2.16197818,,
4,11,3,0.592,0.615384615,1.87894346,1.884313528,,
5,1,3,0.568,0.538461538,1.861247903,1.833927218,,
6,2,1,0.52,0.461538462,1.809392761,1.727248606,,
7,9,1,0.44,0.384615385,1.672246124,1.546593564,,
8,12,1,0.432,0.307692308,1.654761378,1.352030102,,
9,5,1,0.288,0.230769231,1.293330139,1.145110414,,
10,10,1,0.24,0.153846154,1.035040279,0.773228349,,
11,4,2,0.12,0.076923077,0.529360865,0.391243564,,
12,8,1,0,0,0,0,,
,,,,,,,,
,,,,,,,,
Experiment #:,4,,,,,,,
Rule:,4.23E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,2,0.992,0.923076923,1.53024658,2.16197818,,
1,10,2,0.944,0.846153846,1.707365888,2.257756064,,
2,4,2,0.824,0.769230769,1.94447376,2.295465679,,
3,5,3,0.68,0.692307692,1.964180572,2.257756064,,
4,1,3,0.656,0.615384615,1.886601587,2.133937566,,
5,9,3,0.576,0.538461538,1.871125602,2.045841641,,
6,2,3,0.528,0.461538462,1.680368231,1.88109476,,
7,3,1,0.448,0.384615385,1.545014617,1.700439718,,
8,8,1,0.328,0.307692308,1.09010968,1.352030102,,
9,12,1,0.32,0.230769231,1.027361152,0.991264261,,
10,7,1,0.176,0.153846154,0.772383768,0.773228349,,
11,11,1,0.152,0.076923077,0.614822757,0.391243564,,
12,6,1,0,0,0,0,,
,,,,,,,,
,,,,,,,,
Experiment #:,5,,,,,,,
Rule:,1.42E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,2,0.992,0.923076923,1.752537435,1.987773371,,
1,3,3,0.912,0.846153846,1.908051819,1.987773371,,
2,4,3,0.792,0.769230769,1.97289525,1.987773371,,
3,11,3,0.768,0.692307692,1.998447635,2.038159682,,
4,5,3,0.624,0.615384615,1.6826588,1.914341184,,
5,7,3,0.48,0.538461538,1.645877986,1.891995487,,
6,10,3,0.432,0.461538462,1.599822849,1.823026491,,
7,8,3,0.312,0.384615385,1.140435933,1.488525295,,
8,6,3,0.16,0.307692308,0.816894119,1.352030102,,
9,9,2,0.08,0.230769231,0.505816138,1.145110414,,Emailed about it. 
10,1,1,0.056,0.153846154,0.344491046,0.773228349,,
11,2,1,0.008,0.076923077,0.067221545,0.391243564,,
12,12,1,0,0,0,0,,
,,,,,,,,
,,,,,,,,
Experiment #:,6,,,,,,,
Rule:,4.32E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,2,0.992,0.923076923,1.937529217,2.199687795,,
1,12,2,0.984,0.846153846,1.968479855,2.257756064,,
2,3,3,0.904,0.769230769,2.116701758,2.257756064,,
3,10,3,0.856,0.692307692,2.200501822,2.257756064,,
4,1,2,0.832,0.615384615,2.200501822,2.133937566,,
5,5,2,0.688,0.538461538,2.250839474,2.045841641,,
6,11,2,0.664,0.461538462,2.219708641,1.88109476,,
7,8,2,0.544,0.384615385,1.985560576,1.700439718,,
8,9,2,0.464,0.307692308,1.875301225,1.505876256,,
9,4,2,0.344,0.230769231,1.424997787,1.145110414,,
10,6,1,0.192,0.153846154,0.861402006,0.773228349,,
11,2,1,0.144,0.076923077,0.594619344,0.391243564,,
12,7,1,0,0,0,0,,
,,,,,,,,
,,,,,,,,
Experiment #:,7,,,,,,,
Rule:,2.22E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,3,0.992,0.923076923,1.701840525,2.038159682,,
1,12,3,0.984,0.846153846,1.742181184,2.133937566,,
2,1,3,0.96,0.769230769,1.832862546,2.199687795,,
3,10,3,0.912,0.692307692,1.901153287,2.10390991,,
4,6,3,0.76,0.615384615,2.02730518,2.075869297,,
5,2,2,0.712,0.538461538,2.002203489,1.987773371,,
6,8,2,0.592,0.461538462,1.989697902,1.88109476,,
7,5,1,0.448,0.384615385,1.532611142,1.546593564,,
8,7,1,0.304,0.307692308,1.283121145,1.352030102,,
9,3,1,0.224,0.230769231,1.0716317,1.145110414,,
10,4,1,0.104,0.153846154,0.562600927,0.773228349,,
11,11,1,0.08,0.076923077,0.40217919,0.391243564,,
12,9,1,0,0,0,0,,
,,,,,,,,
,,,,,,,,
Experiment #:,8,,,,,,,
Rule:,3.22E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,3,0.992,0.923076923,1.930744334,2.199687795,,
1,2,3,0.944,0.846153846,2.10155408,2.295465679,,
2,5,3,0.8,0.769230769,2.261500572,2.295465679,,
3,1,3,0.776,0.692307692,2.247109289,2.257756064,,
4,8,3,0.656,0.615384615,1.969321716,2.133937566,,
5,10,3,0.608,0.538461538,1.914834133,1.987773371,,
6,9,3,0.528,0.461538462,1.861186774,1.88109476,,
7,4,1,0.408,0.384615385,1.524228001,1.700439718,,
8,12,1,0.4,0.307692308,1.462933179,1.352030102,,
9,3,1,0.32,0.230769231,1.323205166,1.145110414,,
10,11,1,0.296,0.153846154,1.172190243,0.773228349,,
11,6,1,0.144,0.076923077,0.594619344,0.391243564,,
12,7,1,0,0,0,0,,
,,,,,,,,
,,,,,,,,
Experiment #:,9,,,,,,,
Rule:,2.44E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,3,0.992,0.923076923,1.595828739,1.987773371,,
1,3,3,0.912,0.846153846,1.873297204,2.133937566,,
2,6,4,0.76,0.769230769,2.039736319,2.199687795,,
3,5,4,0.616,0.692307692,1.935657637,2.199687795,,
4,8,3,0.496,0.615384615,1.857521729,2.133937566,,
5,1,2,0.472,0.538461538,1.716669816,1.833927218,,
6,12,1,0.464,0.461538462,1.699859233,1.669180337,,
7,9,1,0.384,0.384615385,1.567320832,1.488525295,,
8,4,1,0.264,0.307692308,1.095146613,1.140115679,,
9,10,1,0.216,0.230769231,0.951147967,0.991264261,,
10,11,1,0.192,0.153846154,0.861402006,0.773228349,,
11,2,1,0.144,0.076923077,0.594619344,0.391243564,,
12,7,1,0,0,0,0,,
,,,,,,,,
,,,,,,,,
Experiment #:,10,,,,,,,
Rule:,2.22E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,2,0.992,0.923076923,1.908498148,1.88109476,,
1,9,3,0.912,0.846153846,2.161140648,2.045841641,,
2,7,2,0.768,0.769230769,1.93898824,1.833927218,,
3,3,4,0.688,0.692307692,1.945630711,1.884313528,,
4,12,3,0.68,0.615384615,1.942646155,1.884313528,,
5,5,3,0.536,0.538461538,1.823873178,1.738149333,,
6,10,3,0.488,0.461538462,1.767317302,1.669180337,,
7,4,3,0.368,0.384615385,1.41775797,1.488525295,,
8,11,3,0.344,0.307692308,1.269232387,1.140115679,,
9,1,3,0.32,0.230769231,1.223804139,0.991264261,,
10,8,3,0.2,0.153846154,0.880936151,0.773228349,,
11,6,3,0.048,0.076923077,0.277839574,0.391243564,,
12,2,1,0,0,0,0,,
,,,,,,,,
,,,,,,,,
Experiment #:,11,,,,,,,
Rule:,4.33E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,2,0.992,0.923076923,1.429196257,1.738149333,,
1,8,3,0.872,0.846153846,1.738539489,1.833927218,,
2,12,2,0.864,0.769230769,1.753536877,1.922023143,,
3,3,2,0.784,0.692307692,1.78980413,1.884313528,,
4,1,3,0.76,0.615384615,1.814715727,1.884313528,,
5,6,3,0.608,0.538461538,1.596096249,1.738149333,,
6,11,3,0.584,0.461538462,1.544771068,1.573402452,,
7,7,3,0.44,0.384615385,1.494507855,1.488525295,,
8,5,3,0.296,0.307692308,1.29060265,1.352030102,,
9,9,3,0.216,0.230769231,0.91786424,0.991264261,,
10,4,1,0.096,0.153846154,0.552186103,0.773228349,,
11,2,1,0.048,0.076923077,0.277839574,0.391243564,,
12,10,1,0,0,0,0,,
,,,,,,,,
,,,,,,,,
Experiment #:,12,,,,,,,
Rule:,2.14E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,2,0.992,0.923076923,2.022166878,2.199687795,,
1,9,3,0.912,0.846153846,2.183428357,2.257756064,,
2,10,3,0.864,0.769230769,2.221109766,2.257756064,,
3,6,3,0.712,0.692307692,2.149363656,2.16197818,,
4,12,3,0.704,0.615384615,2.139476988,2.038159682,,
5,4,4,0.584,0.538461538,1.923923389,1.891995487,,
6,2,1,0.536,0.461538462,1.70128133,1.573402452,,
7,5,1,0.392,0.384615385,1.552150437,1.488525295,,
8,3,1,0.312,0.307692308,1.195374462,1.140115679,,
9,1,1,0.288,0.230769231,1.148325883,0.991264261,,
10,7,1,0.144,0.153846154,0.688222573,0.773228349,,
11,8,1,0.024,0.076923077,0.163345543,0.391243564,,
12,11,1,0,0,0,0,,
,,,,,,,,
,,,,,,,,
Experiment #:,13,,,,,,,
Rule:,4.14E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,3,0.992,0.923076923,1.888739743,2.16197818,,
1,1,3,0.968,0.846153846,1.983910463,2.257756064,,
2,10,3,0.92,0.769230769,2.108506181,2.295465679,,
3,5,3,0.776,0.692307692,2.160306102,2.199687795,,
4,2,3,0.728,0.615384615,2.043559212,2.075869297,,
5,6,3,0.576,0.538461538,1.948395814,1.987773371,,
6,9,3,0.496,0.461538462,1.871913012,1.88109476,,
7,11,3,0.472,0.384615385,1.731061098,1.546593564,,
8,8,3,0.352,0.307692308,1.283105263,1.198183948,,
9,7,3,0.208,0.230769231,0.786562604,0.991264261,,
10,12,3,0.2,0.153846154,0.721928095,0.619382195,,
11,3,3,0.12,0.076923077,0.529360865,0.391243564,,
12,4,1,0,0,0,0,,
,,,,,,,,
,,,,,,,,
Experiment #:,14,,,,,,,
Rule:,4.33E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,2,0.992,0.923076923,1.674555139,2.075869297,,
1,2,2,0.944,0.846153846,1.861495793,2.199687795,,
2,4,2,0.824,0.769230769,2.023635276,2.199687795,,
3,1,2,0.8,0.692307692,2.018898986,2.16197818,,
4,7,3,0.656,0.615384615,1.726720131,2.038159682,,
5,9,3,0.576,0.538461538,1.641095236,1.891995487,,
6,12,3,0.568,0.461538462,1.583622108,1.573402452,,
7,5,3,0.424,0.384615385,1.116325908,1.238901257,,
8,3,2,0.344,0.307692308,1.054174079,1.140115679,,
9,8,2,0.224,0.230769231,0.877441581,0.991264261,,
10,10,2,0.176,0.153846154,0.772383768,0.773228349,,
11,6,1,0.024,0.076923077,0.163345543,0.391243564,,
12,11,1,0,0,0,0,,
,,,,,,,,
,,,,,,,,
