Lambda,Lambda_t,H,H_t
0.712,0.692307692,1.92532255,1.826245258
0.76,0.769230769,2.039736319,2.199687795
0.616,0.692307692,1.935657637,2.199687795
0.688,0.692307692,1.945630711,1.884313528
0.584,0.538461538,1.923923389,1.891995487
0.872,0.846153846,2.066544868,2.16197818
0.776,0.692307692,2.155788231,2.038159682
0.696,0.615384615,2.113644072,1.914341184
0.616,0.538461538,1.830142683,1.614330835
0.472,0.461538462,1.727356657,1.573402452
0.456,0.461538462,1.536206303,1.727248606
0.592,0.538461538,1.849328583,1.738149333
0.848,0.846153846,2.17389952,2.133937566
0.496,0.538461538,1.857521729,1.987773371
0.376,0.461538462,1.416806698,1.669180337
0.224,0.384615385,1.065978219,1.546593564
0.696,0.769230769,1.981376236,2.075869297
0.672,0.692307692,1.975668387,2.10390991
0.944,0.846153846,1.601471903,1.922023143
0.792,0.769230769,2.274928551,2.295465679
